application_number,application_year,application_date,xml_relative_path
10228371,2003,20030102,xml_files\pa030102_10228371_20030102.xml
10222905,2003,20030102,xml_files\pa030102_10222905_20030102.xml
10215580,2003,20030102,xml_files\pa030102_10215580_20030102.xml
10229729,2003,20030102,xml_files\pa030102_10229729_20030102.xml
10115128,2003,20030102,xml_files\pa030102_10115128_20030102.xml
9896744,2003,20030102,xml_files\pa030102_09896744_20030102.xml
10107983,2003,20030102,xml_files\pa030102_10107983_20030102.xml
10078214,2003,20030102,xml_files\pa030102_10078214_20030102.xml
10111405,2003,20030102,xml_files\pa030102_10111405_20030102.xml
10211596,2003,20030102,xml_files\pa030102_10211596_20030102.xml
10188021,2003,20030102,xml_files\pa030102_10188021_20030102.xml
9881521,2003,20030102,xml_files\pa030102_09881521_20030102.xml
10179247,2003,20030102,xml_files\pa030102_10179247_20030102.xml
10181947,2003,20030102,xml_files\pa030102_10181947_20030102.xml
9896365,2003,20030102,xml_files\pa030102_09896365_20030102.xml
10142661,2003,20030102,xml_files\pa030102_10142661_20030102.xml
9814109,2003,20030102,xml_files\pa030102_09814109_20030102.xml
9896759,2003,20030102,xml_files\pa030102_09896759_20030102.xml
9891395,2003,20030102,xml_files\pa030102_09891395_20030102.xml
10186576,2003,20030102,xml_files\pa030102_10186576_20030102.xml
10182241,2003,20030102,xml_files\pa030102_10182241_20030102.xml
9895397,2003,20030102,xml_files\pa030102_09895397_20030102.xml
10212181,2003,20030102,xml_files\pa030102_10212181_20030102.xml
10184349,2003,20030102,xml_files\pa030102_10184349_20030102.xml
9897358,2003,20030102,xml_files\pa030102_09897358_20030102.xml
10035232,2003,20030102,xml_files\pa030102_10035232_20030102.xml
9897834,2003,20030102,xml_files\pa030102_09897834_20030102.xml
9894153,2003,20030102,xml_files\pa030102_09894153_20030102.xml
9894269,2003,20030102,xml_files\pa030102_09894269_20030102.xml
10181343,2003,20030102,xml_files\pa030102_10181343_20030102.xml
10136367,2003,20030102,xml_files\pa030102_10136367_20030102.xml
9892992,2003,20030102,xml_files\pa030102_09892992_20030102.xml
10218342,2003,20030102,xml_files\pa030102_10218342_20030102.xml
